66 (3021)
44 (2612)
34 (3040)
56 (3021)
46 (2556)
58 (3195)
36 (3099)
25 (2860)
48 (3013)
17 (2500)
29 (3181)
3 (2839)
5 (2971)
7 (3076)
9 (2874)
60 (3149)
40 (3170)
62 (3060)
52 (3185)
42 (2714)
64 (2631)
31 (2526)
29 34 (3036)
52 58 (3184)
52 56 (3016)
29 36 (3084)
5 29 (2964)
5 7 (2859)
29 31 (2517)
5 9 (2683)
46 52 (2545)
7 44 (2500)
40 64 (2630)
40 62 (3045)
7 48 (2893)
5 25 (2649)
40 66 (2997)
9 62 (2750)
9 60 (2835)
7 40 (3050)
52 62 (3049)
9 66 (2715)
7 42 (2603)
52 60 (3138)
48 60 (2986)
52 66 (3010)
29 46 (2541)
52 64 (2630)
29 44 (2597)
34 58 (3039)
34 56 (2884)
29 48 (2998)
48 66 (2873)
40 60 (3124)
29 42 (2702)
48 62 (2877)
29 40 (3155)
40 52 (3159)
7 56 (2919)
40 58 (3169)
5 34 (2889)
7 58 (3075)
40 56 (2996)
5 36 (2874)
34 66 (2886)
34 64 (2531)
34 62 (2913)
34 60 (2995)
7 52 (3065)
31 58 (2526)
25 52 (2850)
3 29 (2839)
34 48 (2857)
25 56 (2697)
3 25 (2520)
48 58 (3012)
48 56 (2838)
48 52 (3002)
7 66 (2906)
40 42 (2697)
42 66 (2612)
5 42 (2562)
58 60 (3148)
40 46 (2532)
5 48 (2788)
40 44 (2586)
25 48 (2749)
58 66 (3020)
31 60 (2509)
34 52 (3031)
7 60 (3031)
40 48 (2987)
7 62 (2940)
58 62 (3060)
7 64 (2518)
5 40 (2950)
58 64 (2630)
25 62 (2738)
34 36 (2943)
25 66 (2715)
36 58 (3098)
3 36 (2746)
42 62 (2598)
25 60 (2832)
42 60 (2688)
36 60 (3052)
5 52 (2960)
42 56 (2570)
5 56 (2803)
5 58 (2970)
42 58 (2713)
25 58 (2859)
3 34 (2706)
36 66 (2924)
31 52 (2515)
34 42 (2602)
36 64 (2551)
34 40 (3017)
36 62 (2963)
56 58 (3020)
36 48 (2987)
3 48 (2672)
25 34 (2712)
3 5 (2639)
3 7 (2765)
42 52 (2708)
3 9 (2571)
7 9 (2755)
9 25 (2543)
5 66 (2832)
9 29 (2866)
42 48 (2564)
56 62 (2923)
36 56 (2924)
56 60 (2974)
31 40 (2513)
56 66 (2846)
36 52 (3088)
5 60 (2924)
25 29 (2848)
3 40 (2813)
5 62 (2859)
25 40 (2834)
3 58 (2839)
44 62 (2522)
44 60 (2565)
9 36 (2777)
9 34 (2753)
62 64 (2524)
62 66 (2892)
44 58 (2611)
25 36 (2794)
3 56 (2704)
36 44 (2525)
36 42 (2626)
3 52 (2830)
36 40 (3073)
29 56 (3006)
29 58 (3180)
7 29 (3069)
44 52 (2601)
29 52 (3170)
3 60 (2805)
9 48 (2691)
7 25 (2743)
9 40 (2852)
3 66 (2703)
3 62 (2724)
29 66 (3013)
29 60 (3136)
60 66 (3021)
60 64 (2584)
60 62 (3014)
29 64 (2616)
46 60 (2517)
29 62 (3045)
9 58 (2873)
9 56 (2752)
7 34 (2930)
46 58 (2555)
7 36 (2979)
9 52 (2866)
5 34 60 (2844)
46 52 58 (2544)
5 7 60 (2814)
25 29 62 (2726)
25 29 66 (2707)
3 36 60 (2712)
29 48 66 (2865)
3 36 62 (2631)
25 29 60 (2820)
3 36 66 (2610)
46 52 60 (2506)
5 34 66 (2753)
5 7 66 (2723)
5 34 62 (2778)
5 7 62 (2747)
34 56 66 (2730)
29 60 62 (3001)
3 25 58 (2520)
34 56 62 (2791)
29 60 64 (2571)
34 56 60 (2839)
42 56 60 (2544)
40 46 58 (2531)
29 60 66 (3013)
9 29 66 (2711)
3 36 52 (2737)
40 46 52 (2521)
40 58 66 (2996)
3 60 66 (2703)
3 36 56 (2611)
3 36 58 (2746)
42 56 58 (2569)
9 29 60 (2829)
9 29 62 (2742)
5 34 56 (2736)
40 58 60 (3123)
5 34 58 (2888)
40 58 62 (3045)
34 56 58 (2883)
5 34 52 (2880)
3 60 62 (2691)
40 58 64 (2629)
3 25 52 (2512)
29 36 62 (2948)
25 52 62 (2728)
25 52 60 (2822)
29 36 64 (2536)
29 36 66 (2916)
25 52 66 (2705)
3 25 29 (2520)
7 56 58 (2918)
3 36 40 (2720)
3 58 66 (2703)
3 58 62 (2724)
3 36 48 (2646)
5 7 48 (2676)
3 58 60 (2805)
36 42 62 (2510)
5 7 40 (2838)
36 42 66 (2524)
7 56 66 (2749)
36 42 60 (2600)
7 56 60 (2874)
7 56 62 (2821)
29 48 58 (2997)
29 48 56 (2823)
29 48 52 (2987)
29 48 62 (2862)
29 48 60 (2973)
36 42 58 (2625)
5 7 56 (2709)
36 42 52 (2620)
56 60 62 (2877)
5 7 58 (2858)
5 7 52 (2848)
56 60 66 (2846)
29 36 40 (3058)
5 9 40 (2666)
48 60 62 (2851)
29 36 42 (2614)
5 36 40 (2853)
29 36 44 (2510)
5 25 29 (2645)
29 36 48 (2972)
9 29 34 (2751)
9 29 36 (2769)
36 56 58 (2923)
48 60 66 (2873)
36 42 48 (2539)
36 56 62 (2826)
9 52 60 (2827)
36 56 60 (2877)
9 52 62 (2742)
5 9 48 (2500)
29 58 66 (3012)
5 36 48 (2762)
9 52 66 (2707)
29 58 62 (3045)
29 58 64 (2615)
29 36 52 (3073)
5 9 52 (2675)
29 36 56 (2909)
29 36 58 (3083)
36 56 66 (2749)
5 25 36 (2583)
5 25 34 (2570)
5 9 58 (2682)
9 52 56 (2747)
5 9 56 (2566)
29 36 60 (3039)
9 52 58 (2865)
34 36 48 (2831)
3 48 66 (2563)
5 36 60 (2827)
5 36 62 (2762)
3 48 62 (2557)
3 48 60 (2650)
5 25 48 (2538)
9 29 56 (2744)
9 40 52 (2844)
9 29 58 (2865)
9 40 56 (2730)
56 58 66 (2845)
9 40 48 (2669)
5 25 40 (2628)
56 58 62 (2923)
56 58 60 (2973)
9 29 52 (2858)
5 9 29 (2679)
34 36 52 (2934)
34 36 56 (2787)
5 36 66 (2735)
7 29 62 (2933)
34 58 66 (2885)
5 36 52 (2863)
7 29 64 (2511)
29 58 60 (3135)
3 48 52 (2663)
34 58 64 (2530)
5 58 62 (2859)
34 58 62 (2913)
7 29 60 (3024)
5 58 60 (2923)
9 40 60 (2813)
34 58 60 (2994)
9 40 62 (2738)
5 25 58 (2648)
9 40 66 (2694)
9 29 48 (2683)
9 40 58 (2851)
5 25 52 (2639)
9 29 40 (2844)
34 36 40 (2920)
5 58 66 (2831)
5 36 58 (2873)
5 9 36 (2586)
7 29 66 (2902)
3 48 58 (2672)
5 9 34 (2622)
5 36 56 (2706)
34 36 42 (2514)
3 48 56 (2537)
48 58 60 (2985)
48 58 62 (2877)
31 40 52 (2502)
29 40 64 (2615)
29 40 66 (2989)
29 40 60 (3111)
3 34 36 (2613)
52 56 58 (3015)
29 40 62 (3030)
34 48 52 (2848)
3 56 66 (2568)
34 48 56 (2701)
9 56 60 (2713)
3 56 60 (2670)
3 56 62 (2627)
9 56 62 (2657)
36 40 62 (2948)
3 5 36 (2546)
9 56 66 (2593)
36 40 60 (3027)
3 5 34 (2572)
36 40 66 (2900)
9 34 36 (2656)
36 40 64 (2550)
34 36 58 (2942)
34 60 62 (2869)
3 56 58 (2704)
3 34 48 (2539)
34 60 66 (2886)
29 52 56 (3001)
36 40 58 (3072)
9 34 40 (2733)
3 34 40 (2683)
36 40 56 (2899)
29 52 58 (3169)
34 36 62 (2816)
9 56 58 (2751)
9 34 48 (2570)
34 36 60 (2898)
34 36 66 (2789)
3 5 29 (2639)
36 40 52 (3062)
5 9 62 (2580)
29 40 46 (2517)
40 48 66 (2849)
5 9 60 (2644)
29 40 48 (2972)
29 40 42 (2685)
